Date,Quantity
2022-Jun,105
2022-Jun,1196
2022-Jun,1257
2022-Jun,4036
2022-Jun,6670
2022-Jun,511
2022-Jun,308
2022-Jun,1352
2022-Jun,9798
2022-Jun,66
2022-Jun,498
2022-Jun,23208
2022-Jun,4337
2022-Jun,27712
2022-Jun,1931
2022-Jun,21
2022-Jun,267
2022-Jun,1168
2022-Jun,3968
2022-May,13369
2022-Jun,1
2022-May,1
2022-May,12295
2022-May,247
2022-May,877
2022-May,18584
2022-May,2181
2022-May,4
2022-May,8291
2022-May,210
2022-May,165
2022-May,939
2022-May,22560
2022-May,2383
2022-May,6417
2022-May,7711
2022-May,209
2022-May,1075
2022-May,7
2022-May,7490
2022-May,1042
2022-May,1990
2022-May,10469
2022-May,236
2022-May,2
2022-Apr,89
2022-Apr,25286
2022-Apr,2125
2022-Apr,2746
2022-Apr,13760
2022-Apr,2
2022-Apr,5
2022-Apr,156
2022-Apr,135
2022-Apr,191
2022-Apr,137
2022-Apr,279
2022-Apr,3
2022-Apr,6590
2022-Apr,102
2022-Apr,2389
2022-Apr,989
2022-Apr,194
2022-Apr,3175
2022-Apr,1759
2022-Apr,880
2022-Apr,12765
2022-Apr,1548
2022-Apr,762
2022-Mar,3880
2022-Mar,86
2022-Mar,455
2022-Mar,2594
2022-Mar,6
2022-Mar,45
2022-Mar,6224
2022-Mar,190
2022-Mar,62
2022-Mar,103
2022-Mar,196
2022-Mar,35
2022-Mar,102
2022-Mar,54
2022-Mar,164
2022-Mar,262
2022-Mar,44
2022-Mar,14253
2022-Mar,273
2022-Mar,459
2022-Mar,5408
2022-Mar,162
2022-Mar,156
2022-Mar,107
2022-Mar,27783
2022-Feb,56
2022-Feb,16128
2022-Feb,8176
2022-Feb,25
2022-Feb,248
2022-Feb,768
2022-Feb,1349
2022-Feb,40
2022-Feb,30
2022-Feb,150
2022-Feb,37801
2022-Feb,268
2022-Feb,13785
2022-Feb,144
2022-Feb,2748
2022-Feb,1066
2022-Feb,504
2022-Feb,323
2022-Feb,152
2022-Feb,740
2022-Feb,3968
2022-Jan,1642
2022-Jan,8854
2022-Jan,195
2022-Jan,1463
2022-Jan,174
2022-Jan,13854
2022-Jan,8390
2022-Jan,107
2022-Jan,21760
2022-Jan,1118
2022-Jan,7317
2022-Jan,179
2022-Jan,461
2022-Jan,5807
2022-Jan,316
2022-Jan,526
2022-Jan,440
2022-Jan,833
2022-Jan,6214
2022-Jan,2420
2022-Jan,2006
2021-Dec,1274
2022-Jan,4
2021-Dec,10318
2021-Dec,111
2021-Dec,1420
2021-Dec,1363
2021-Dec,5045
2021-Dec,1916
2021-Dec,76221
2021-Dec,422
2021-Dec,171
2021-Dec,955
2021-Dec,179
2021-Dec,348
2021-Dec,207
2021-Dec,227
2021-Dec,562
2021-Dec,98
2021-Dec,405
2021-Dec,387
2021-Nov,221
2021-Nov,144
2021-Nov,13
2021-Nov,80
2021-Nov,279
2021-Nov,76
2021-Nov,5038
2021-Nov,-17
2021-Nov,74
2021-Nov,242
2021-Nov,42
2021-Nov,128
2021-Nov,31
2021-Nov,4603
2021-Nov,185
2021-Nov,1952
2021-Nov,4902
2021-Nov,2100
2021-Nov,109
2021-Nov,484
2021-Oct,28
2021-Oct,2942
2021-Oct,5121
2021-Oct,1175
2021-Oct,342
2021-Oct,1275
2021-Oct,4120
2021-Oct,6502
2021-Oct,236
2021-Oct,488
2021-Oct,756
2021-Oct,3088
2021-Oct,932
2021-Oct,50
2021-Oct,717
2021-Oct,33
2021-Oct,942
2021-Oct,1800
2021-Oct,524
2021-Oct,386
2021-Oct,3361
2021-Sep,1256
2021-Sep,3069
2021-Sep,109
2021-Sep,233
2021-Sep,2099
2021-Sep,6722
2021-Sep,799
2021-Sep,376
2021-Sep,197
2021-Sep,2987
2021-Sep,1515
2021-Sep,57
2021-Sep,1759
2021-Sep,1908
2021-Sep,2267
2021-Sep,9272
2021-Sep,4425
2021-Sep,1945
2021-Sep,2189
2021-Sep,3175
2021-Sep,5348
2021-Aug,549
2021-Aug,2842
2021-Aug,2453
2021-Aug,1451
2021-Aug,1647
2021-Aug,4436
2021-Aug,3246
2021-Aug,5464
2021-Aug,2018
2021-Aug,130
2021-Aug,2736
2021-Aug,2093
2021-Aug,1602
2021-Aug,260
2021-Aug,1369
2021-Aug,2503
2021-Aug,254
2021-Aug,4024
2021-Aug,3082
2021-Aug,1641
2021-Aug,4128
2021-Aug,7305
2021-Jul,1331
2021-Jul,5390
2021-Jul,1387
2021-Jul,396
2021-Jul,1934
2021-Jul,1177
2021-Jul,5025
2021-Jul,2150
2021-Jul,1174
2021-Jul,3147
2021-Jul,2858
2021-Jul,3949
2021-Jul,1883
2021-Jul,2799
2021-Jul,4475
2021-Jul,4499
2021-Jul,8763
2021-Jul,2951
2021-Jul,117
2021-Jul,2
2021-Jul,7016
2021-Jul,6952
2021-Jun,233
2021-Jun,1745
2021-Jun,1240
2021-Jun,3743
2021-Jun,5065
2021-Jun,1730
2021-Jun,4113
2021-Jun,562
2021-Jun,3902
2021-Jun,603
2021-Jun,2730
2021-Jun,405
2021-Jun,5942
2021-Jun,16148
2021-Jun,12678
2021-Jun,143
2021-Jun,193
2021-Jun,297
2021-Jun,142
2021-Jun,861
2021-Jun,2826
2021-Jun,561
2021-May,146
2021-May,1268
2021-May,788
2021-May,3172
2021-May,17920
2021-May,12883
2021-May,584
2021-May,141
2021-May,29852
2021-May,16309
2021-May,2401
2021-May,3537
2021-May,2804
2021-May,12614
2021-May,24201
2021-May,178
2021-May,498
2021-May,181
2021-May,2229
2021-May,7959
2021-Apr,1338
2021-Apr,6940
2021-Apr,5644
2021-Apr,3743
2021-Apr,11800
2021-Apr,14330
2021-Apr,7344
2021-Apr,132
2021-Apr,1939
2021-Apr,2021
2021-Apr,8866
2021-Apr,9611
2021-Apr,5901
2021-Apr,4975
2021-Apr,16932
2021-Apr,6955
2021-Apr,12651
2021-Apr,2998
2021-Apr,6216
2021-Apr,13467
2021-Apr,50753
2021-Apr,896
2021-Mar,1291
2021-Mar,546
2021-Mar,18075
2021-Mar,88
2021-Mar,1114
2021-Mar,217
2021-Mar,402
2021-Mar,7369
2021-Mar,4097
2021-Mar,831
2021-Mar,750
2021-Mar,2881
2021-Mar,4637
2021-Mar,3882
2021-Mar,815
2021-Mar,1810
2021-Mar,833
2021-Mar,7976
2021-Mar,3615
2021-Mar,3373
2021-Mar,144
2021-Mar,3220
2021-Feb,4500
2021-Feb,69
2021-Feb,80
2021-Feb,341
2021-Feb,917
2021-Feb,1159
2021-Feb,1656
2021-Feb,145
2021-Feb,1006
2021-Feb,922
2021-Feb,688
2021-Feb,469
2021-Feb,321
2021-Feb,1954
2021-Feb,2314
2021-Feb,909
2021-Feb,222
2021-Feb,3007
2021-Feb,1133
2021-Feb,6248
2021-Jan,136
2021-Jan,4408
2021-Jan,10187
2021-Jan,236
2021-Jan,11608
2021-Jan,5830
2021-Jan,858
2021-Jan,1184
2021-Jan,2245
2021-Jan,1054
2021-Jan,996
2021-Jan,112
2021-Jan,616
2021-Jan,290
2021-Jan,2153
2021-Jan,3171
2021-Jan,365
2021-Jan,896
2021-Jan,4340
2021-Jan,1384
2020-Dec,856
2020-Dec,3750
2020-Dec,34
2020-Dec,63
2020-Dec,2798
2020-Dec,1614
2020-Dec,1373
2020-Dec,24
2020-Dec,122
2020-Dec,1319
2020-Dec,803
2020-Dec,1327
2020-Dec,1229
2020-Dec,4585
2020-Dec,3796
2020-Dec,82
2020-Dec,1381
2020-Dec,853
2020-Dec,1426
2020-Dec,8501
2020-Dec,119
2020-Dec,4185
2020-Dec,549
2020-Nov,82
2020-Nov,0
