Date,Quantity
5/28/2023,148
5/28/2023,614
5/28/2023,24175
5/28/2023,4779
5/28/2023,22284
5/21/2023,3109
5/21/2023,18906
5/21/2023,3615
5/21/2023,2461
5/21/2023,8320
5/14/2023,1641
5/21/2023,19656
5/14/2023,9686
5/14/2023,14994
5/14/2023,144230
5/14/2023,1545
5/14/2023,3
5/7/2023,56
5/7/2023,158
5/7/2023,345
5/7/2023,17608
5/7/2023,573
4/30/2023,3575
5/7/2023,37
4/30/2023,293
4/30/2023,44
4/30/2023,617
4/23/2023,2
4/30/2023,6623
4/23/2023,559
4/23/2023,304
4/23/2023,6523
4/23/2023,7811
4/23/2023,127
4/23/2023,191
4/16/2023,7382
4/16/2023,2185
4/16/2023,12475
4/16/2023,6095
4/16/2023,7009
4/16/2023,16132
4/9/2023,2345
4/9/2023,-229
4/9/2023,12898
4/9/2023,6069
4/9/2023,748
4/9/2023,240
4/2/2023,16036
4/2/2023,15660
4/2/2023,6097
4/2/2023,2233
4/2/2023,2603
3/26/2023,69
3/26/2023,1250
4/2/2023,0
3/26/2023,1482
3/26/2023,1566
3/26/2023,6139
3/26/2023,1
3/19/2023,1468
3/19/2023,689
3/19/2023,2319
3/19/2023,862
3/19/2023,19
3/19/2023,1
3/12/2023,6115
3/12/2023,955
3/12/2023,478
3/12/2023,34
3/12/2023,590
3/5/2023,584
3/5/2023,322
3/12/2023,1
3/5/2023,410
3/12/2023,1
3/5/2023,2186
3/5/2023,7678
3/5/2023,1
2/26/2023,10571
2/26/2023,209
2/26/2023,1937
2/26/2023,2218
2/26/2023,6979
2/26/2023,34
2/19/2023,4606
2/19/2023,7656
2/19/2023,1428
2/19/2023,8296
2/19/2023,847
2/19/2023,26
2/12/2023,8494
2/19/2023,120
2/12/2023,6119
2/12/2023,3418
2/12/2023,1941
2/12/2023,7396
2/12/2023,28
2/5/2023,100
2/5/2023,20111
2/5/2023,242
2/5/2023,1361
2/5/2023,3284
2/5/2023,26
1/29/2023,791
2/5/2023,108
1/29/2023,229
1/29/2023,199
1/29/2023,8510
1/29/2023,10112
1/29/2023,39
1/22/2023,2998
1/29/2023,36
1/22/2023,6432
1/22/2023,473
1/22/2023,367
1/22/2023,7854
1/22/2023,16
1/15/2023,306
1/15/2023,2120
1/15/2023,1949
1/15/2023,4797
1/8/2023,0
1/15/2023,3240
1/22/2023,2
1/15/2023,10
1/8/2023,3319
1/15/2023,2
1/8/2023,3230
1/15/2023,84
1/8/2023,7531
1/8/2023,2039
1/8/2023,1488
1/1/2023,2
1/8/2023,35
1/1/2023,2632
1/1/2023,292
1/1/2023,472
1/1/2023,44133
1/1/2023,15
12/25/2022,4036
12/25/2022,4728
12/25/2022,27
12/18/2022,4621
12/18/2022,7652
12/18/2022,5244
12/18/2022,4314
12/11/2022,63
12/18/2022,10344
12/18/2022,21
12/11/2022,24
12/18/2022,12
12/11/2022,192
12/18/2022,12
12/11/2022,4780
12/11/2022,466
12/11/2022,8421
12/11/2022,2949
12/11/2022,24
12/4/2022,12
12/4/2022,226
12/11/2022,4
12/4/2022,8350
11/27/2022,2
12/4/2022,152
11/27/2022,4
12/4/2022,200
11/27/2022,2
12/4/2022,4140
11/27/2022,20251
12/4/2022,5
11/27/2022,4292
11/27/2022,20613
11/27/2022,938
11/27/2022,208
11/27/2022,2
11/20/2022,153
11/20/2022,2
11/20/2022,39
